 ****************** Start WS v. 1.61 at 2014-10-14 09:05:28 ******************
 
 Wiggler A at APS
 energy   7.000 GeV   current 100.0 mA
 period   8.500  cm   N        28.0      Kx      0.000      Ky      8.740
 emin    1000.0  eV   emax 100000.0 eV   ne       2000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      2.000  mm   yps     2.000 mm   nxp        10      nyp        10
 
 b0       1.101   T   ec0    35.884  keV
 e1      139.67  eV   l1     88.767  A
 ptot    8947.6   W   pd       89.1  W/mm^2
 
 Flux through   2.000 mm x  2.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   6.642E+16 ph/s
 Integrated power     262.21 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)    p1      p2      p3      p4
  14223.112   2.026238E+013     0.938   0.000   0.000   0.062
  14272.636   2.028783E+013     0.938   0.000   0.000   0.062
  14322.161   2.031314E+013     0.938   0.000   0.000   0.062
  14371.686   2.033830E+013     0.937   0.000   0.000   0.063
  14421.211   2.036332E+013     0.937   0.000   0.000   0.063
  14470.735   2.038818E+013     0.937   0.000   0.000   0.063
  14520.260   2.041290E+013     0.937   0.000   0.000   0.063
  14569.785   2.043748E+013     0.937   0.000   0.000   0.063
  14619.310   2.046191E+013     0.937   0.000   0.000   0.063
  14668.834   2.048620E+013     0.937   0.000   0.000   0.063
  14718.359   2.051034E+013     0.937   0.000   0.000   0.063
  14767.884   2.053434E+013     0.937   0.000   0.000   0.063
  14817.409   2.055820E+013     0.937   0.000   0.000   0.063
  14866.933   2.058192E+013     0.937   0.000   0.000   0.063
  14916.458   2.060549E+013     0.937   0.000   0.000   0.063
  14965.983   2.062892E+013     0.937   0.000   0.000   0.063
  15015.508   2.065222E+013     0.937   0.000   0.000   0.063
  15065.033   2.067537E+013     0.937   0.000   0.000   0.063
  15114.557   2.069838E+013     0.936   0.000   0.000   0.064
  15164.082   2.072126E+013     0.936   0.000   0.000   0.064
  15213.607   2.074399E+013     0.936   0.000   0.000   0.064
  15263.132   2.076659E+013     0.936   0.000   0.000   0.064
  15312.656   2.078905E+013     0.936   0.000   0.000   0.064
  15362.181   2.081138E+013     0.936   0.000   0.000   0.064
  15411.706   2.083357E+013     0.936   0.000   0.000   0.064
  15461.231   2.085562E+013     0.936   0.000   0.000   0.064
  15510.755   2.087754E+013     0.936   0.000   0.000   0.064
  15560.280   2.089932E+013     0.936   0.000   0.000   0.064
  15609.805   2.092097E+013     0.936   0.000   0.000   0.064
  15659.330   2.094248E+013     0.936   0.000   0.000   0.064
  15708.854   2.096387E+013     0.936   0.000   0.000   0.064
  15758.379   2.098512E+013     0.936   0.000   0.000   0.064
  15807.904   2.100623E+013     0.936   0.000   0.000   0.064
  15857.429   2.102722E+013     0.935   0.000   0.000   0.065
  15906.953   2.104807E+013     0.935   0.000   0.000   0.065
  15956.478   2.106879E+013     0.935   0.000   0.000   0.065
  16006.003   2.108938E+013     0.935   0.000   0.000   0.065
  16055.528   2.110985E+013     0.935   0.000   0.000   0.065
  16105.053   2.113018E+013     0.935   0.000   0.000   0.065
  16154.577   2.115038E+013     0.935   0.000   0.000   0.065
  16204.102   2.117046E+013     0.935   0.000   0.000   0.065
  16253.627   2.119041E+013     0.935   0.000   0.000   0.065
  16303.152   2.121023E+013     0.935   0.000   0.000   0.065
  16352.676   2.122992E+013     0.935   0.000   0.000   0.065
  16402.201   2.124949E+013     0.935   0.000   0.000   0.065
  16451.726   2.126893E+013     0.935   0.000   0.000   0.065
  16501.251   2.128824E+013     0.935   0.000   0.000   0.065
  16550.775   2.130743E+013     0.935   0.000   0.000   0.065
  16600.300   2.132650E+013     0.935   0.000   0.000   0.065
  16649.825   2.134544E+013     0.935   0.000   0.000   0.065
  16699.350   2.136425E+013     0.934   0.000   0.000   0.066
  16748.874   2.138295E+013     0.934   0.000   0.000   0.066
  16798.399   2.140152E+013     0.934   0.000   0.000   0.066
  16847.924   2.141996E+013     0.934   0.000   0.000   0.066
  16897.449   2.143829E+013     0.934   0.000   0.000   0.066
  16946.973   2.145649E+013     0.934   0.000   0.000   0.066
  16996.498   2.147458E+013     0.934   0.000   0.000   0.066
  17046.023   2.149254E+013     0.934   0.000   0.000   0.066
  17095.548   2.151038E+013     0.934   0.000   0.000   0.066
  17145.073   2.152810E+013     0.934   0.000   0.000   0.066
  17194.597   2.154570E+013     0.934   0.000   0.000   0.066
  17244.122   2.156319E+013     0.934   0.000   0.000   0.066
  17293.647   2.158055E+013     0.934   0.000   0.000   0.066
