#UD Electron Binding Energies in keV for the elements in their natural forms
#UD 
#UD 
#UD REFERENCE:
#UD Table of Isotopes, CD-ROM, 8th edition, Version 1.0, March 1996
#UD Richard B Firestone
#UD S Y Frank Chu, CD-ROM Editor
#UD Virginia S Shirley, Editor
#UD Wiley-Interscience
#UD 
#UD Nota: 
#UD The values are sorted by shell. Shells with no electrons may present the -99999 (dummy) value.
#UD 
#S  1 H
#UTOEV  1000.0
#N  1
#L  K(1s1/2)
 0.0136
#S  2 He
#UTOEV  1000.0
#N  1
#L  K(1s1/2)
 0.0246
#S  3 Li
#UTOEV  1000.0
#N  2
#L  K(1s1/2)  L1(2s1/2)
 0.0548 0.0053
#S  4 Be
#UTOEV  1000.0
#N  2
#L  K(1s1/2)  L1(2s1/2)
 0.1121 0.0080
#S  5 B
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.1880 0.0126 0.0047 0.0047
#S  6 C
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.2838 0.0180 0.0064 0.0064
#S  7 N
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.4016 0.0244 0.0092 0.0092
#S  8 O
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.5320 0.0285 0.0071 0.0071
#S  9 F
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.6854 0.0340 0.0086 0.0086
#S  10 Ne
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.8701 0.0485 0.0217 0.0216
#S  11 Na
#UTOEV  1000.0
#UTOEV  1000.0
#N  14
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)
 21.0440 3.0425 2.7932 2.6769 0.5440 0.4449 0.4250 0.2564 0.2529 0.0680 0.0389 0.0389 0.0020 0.0020
#S  44 Ru
#UTOEV  1000.0
#N  14
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)
 22.1172 3.2240 2.9669 2.8379 0.5850 0.4828 0.4606 0.2836 0.2794 0.0749 0.0431 0.0431 0.0020 0.0020
#S  45 Rh
#UTOEV  1000.0
#N  14
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)
 23.2199 3.4119 3.1461 3.0038 0.6271 0.5210 0.4962 0.3117 0.3070 0.0810 0.0479 0.0479 0.0025 0.0025
#S  46 Pd
#UTOEV  1000.0
#N  14
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)
 24.3503 3.6043 3.3303 3.1733 0.6699 0.5591 0.5315 0.3400 0.3347 0.0864 0.0511 0.0511 0.0015 0.0015
#S  47 Ag
#UTOEV  1000.0
#N  14
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)
 25.5140 3.8058 3.5237 3.3511 0.7175 0.6024 0.5714 0.3728 0.3667 0.0952 0.0626 0.0559 0.0033 0.0033
#S  48 Cd
#UTOEV  1000.0
#N  19
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)
 26.7112 4.0180 3.7270 3.5375 0.7702 0.6507 0.6165 0.4105 0.4037 0.1076 0.0669 0.0669 0.0093 0.0093 -99999 -99999 0.0022 0.0022 0.0022
#S  49 In
#UTOEV  1000.0
#N  19
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)
 27.9399 4.2375 3.9380 3.7301 0.8256 0.7022 0.6643 0.4508 0.4431 0.1219 0.0774 0.0774 0.0162 0.0162 -99999 -99999 0.0001 0.0008 0.0008
#S  50 Sn
#UTOEV  1000.0
#N  19
