 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.2250     1.3500    4.165859E+02     0.764  -0.010   0.000   0.236
    0.2250     1.3875    4.057066E+02     0.756  -0.010   0.000   0.244
    0.2250     1.4250    3.945978E+02     0.747  -0.010   0.000   0.253
    0.2250     1.4625    3.829269E+02     0.739  -0.010   0.000   0.261
    0.2250     1.5000    3.700248E+02     0.731  -0.011   0.000   0.269
    0.3000     0.0000    6.825978E+02     0.997  -0.001   0.000   0.003
    0.3000     0.0375    6.823463E+02     0.997  -0.001   0.000   0.003
    0.3000     0.0750    6.815121E+02     0.996  -0.001   0.000   0.004
    0.3000     0.1125    6.801252E+02     0.995  -0.001   0.000   0.005
    0.3000     0.1500    6.782212E+02     0.993  -0.001   0.000   0.007
    0.3000     0.1875    6.757624E+02     0.991  -0.001   0.000   0.009
    0.3000     0.2250    6.727664E+02     0.988  -0.002   0.000   0.012
    0.3000     0.2625    6.692667E+02     0.984  -0.002   0.000   0.016
    0.3000     0.3000    6.652274E+02     0.981  -0.002   0.000   0.019
    0.3000     0.3375    6.607149E+02     0.976  -0.003   0.000   0.024
    0.3000     0.3750    6.557061E+02     0.971  -0.003   0.000   0.029
    0.3000     0.4125    6.501988E+02     0.966  -0.003   0.000   0.034
    0.3000     0.4500    6.442686E+02     0.961  -0.003   0.000   0.039
    0.3000     0.4875    6.378627E+02     0.955  -0.004   0.000   0.045
    0.3000     0.5250    6.310272E+02     0.948  -0.004   0.000   0.052
    0.3000     0.5625    6.237995E+02     0.942  -0.004   0.000   0.058
