 ****** URGENT - Version 3.0 ******

 UNDULATOR : PERIOD = 0.01800  KX =  0.0000  KY =  1.6800  PHASE =    0.0  N = 222

 PHOTON ENERGY RANGE : MIN =      0.000  MAX =      0.000  N =    0

 ELECTRON BEAM : ENERGY =  6.040  CURRENT = 0.200
 SIGX = 0.3950  SIGY = 0.0099  SIGX1 = 0.0105  SIGY1 = 0.0039

 ACCEPTANCE : D =   30.000  XCENTRE =   0.000  YCENTRE =   0.000
 XSIZE =   3.000  YSIZE =   3.000  NXP = 40  NYP = 40

 MODE = 6  ICALC = 1  IHARM =  -200
 NPHI =   0 NSIG =   4 NALPHA =   0 DALPHA =  0.0 NOMEGA =    0 DOMEGA =  0.0

 E1 =   7982.253 EV  LAMDA1 =      1.553 ANGSTROM
 TOTAL POWER =  18413.693 WATTS  POWER DENSITY = 624334.787 WATTS/MRAD**2

 UNITS :
 IRRADIANCE -               PHOTONS/S/MM**2/0.1%BW
 ANGULAR FLUX DENSITY -     PHOTONS/S/MRAD**2/0.1%BW
 BRIGHTNESS -               PHOTONS/S/MRAD*2/MM**2/0.1%BW
 FLUX -                     PHOTONS/S/0.1%BW
 (SPECTRAL) POWER DENSITY - WATTS/MM**2 OR MRAD**2(/EV)
 (SPECTRAL) POWER -         WATTS(/EV)



    0.188     0.825   0.564837D+03   0.173351D+18
    0.188     0.862   0.555103D+03   0.172009D+18
    0.188     0.900   0.545105D+03   0.170603D+18
    0.188     0.938   0.534832D+03   0.169124D+18
    0.188     0.975   0.524530D+03   0.167644D+18
    0.188     1.012   0.514105D+03   0.166123D+18
    0.188     1.050   0.503452D+03   0.164527D+18
    0.188     1.087   0.492723D+03   0.162903D+18
    0.188     1.125   0.482021D+03   0.161268D+18
    0.188     1.162   0.471154D+03   0.159563D+18
    0.188     1.200   0.460275D+03   0.157833D+18
    0.188     1.238   0.449474D+03   0.156100D+18
    0.188     1.275   0.438577D+03   0.154303D+18
    0.188     1.312   0.427721D+03   0.152487D+18
    0.188     1.350   0.416998D+03   0.150675D+18
    0.188     1.387   0.406218D+03   0.148800D+18
    0.188     1.425   0.395581D+03   0.146930D+18
    0.188     1.462   0.385060D+03   0.145050D+18
    0.188     1.500   0.374540D+03   0.143116D+18
    0.225     0.000   0.684570D+03   0.188514D+18
    0.225     0.037   0.684405D+03   0.188513D+18
    0.225     0.075   0.683580D+03   0.188417D+18
    0.225     0.112   0.682110D+03   0.188230D+18
    0.225     0.150   0.680208D+03   0.188010D+18
    0.225     0.188   0.677783D+03   0.187729D+18
    0.225     0.225   0.674657D+03   0.187339D+18
    0.225     0.263   0.671131D+03   0.186918D+18
    0.225     0.300   0.667164D+03   0.186455D+18
    0.225     0.337   0.662494D+03   0.185874D+18
    0.225     0.375   0.657435D+03   0.185257D+18
    0.225     0.412   0.651999D+03   0.184606D+18
    0.225     0.450   0.645902D+03   0.183837D+18
    0.225     0.487   0.639445D+03   0.183034D+18
    0.225     0.525   0.632671D+03   0.182198D+18
    0.225     0.562   0.625302D+03   0.181250D+18
    0.225     0.600   0.617602D+03   0.180263D+18
    0.225     0.637   0.609662D+03   0.179253D+18
    0.225     0.675   0.601194D+03   0.178134D+18
    0.225     0.713   0.592472D+03   0.176983D+18
    0.225     0.750   0.583526D+03   0.175800D+18
    0.225     0.787   0.574194D+03   0.174531D+18
    0.225     0.825   0.564593D+03   0.173211D+18
    0.225     0.862   0.554868D+03   0.171874D+18
    0.225     0.900   0.544883D+03   0.170470D+18
    0.225     0.938   0.534591D+03   0.168987D+18
    0.225     0.975   0.524303D+03   0.167510D+18
    0.225     1.012   0.513863D+03   0.165985D+18
    0.225     1.050   0.503200D+03   0.164386D+18
    0.225     1.087   0.492488D+03   0.162765D+18
    0.225     1.125   0.481792D+03   0.161133D+18
    0.225     1.162   0.470898D+03   0.159419D+18
    0.225     1.200   0.460042D+03   0.157698D+18
    0.225     1.238   0.449257D+03   0.155969D+18
    0.225     1.275   0.438338D+03   0.154165D+18
    0.225     1.312   0.427497D+03   0.152355D+18
    0.225     1.350   0.416795D+03   0.150549D+18
    0.225     1.387   0.406020D+03   0.148674D+18
    0.225     1.425   0.395356D+03   0.146798D+18
    0.225     1.462   0.384870D+03   0.144930D+18
    0.225     1.500   0.374372D+03   0.143003D+18
    0.263     0.000   0.684130D+03   0.188308D+18
    0.263     0.037   0.684036D+03   0.188326D+18
    0.263     0.075   0.683211D+03   0.188230D+18
    0.263     0.112   0.681736D+03   0.188041D+18
    0.263     0.150   0.679807D+03   0.187813D+18
    0.263     0.188   0.677416D+03   0.187542D+18
    0.263     0.225   0.674317D+03   0.187159D+18
    0.263     0.263   0.670768D+03   0.186733D+18
    0.263     0.300   0.666803D+03   0.186270D+18
    0.263     0.337   0.662161D+03   0.185695D+18
    0.263     0.375   0.657078D+03   0.185074D+18
    0.263     0.412   0.651644D+03   0.184423D+18
    0.263     0.450   0.645551D+03   0.183654D+18
    0.263     0.487   0.639087D+03   0.182849D+18
    0.263     0.525   0.632325D+03   0.182017D+18
    0.263     0.562   0.624959D+03   0.181069D+18
    0.263     0.600   0.617282D+03   0.180089D+18
